experiment,total_tests,correct_tests,accuracy,avg_response_time
direct,3,3,1.0,3.619288603464762
polite,3,3,1.0,5.04180367787679
conversational,3,3,1.0,2.1036333243052163
question,3,3,1.0,1.627405325571696
synonyms,3,3,1.0,1.790276288986206
reordered,3,3,1.0,4.096323649088542
symbols,3,2,0.6666666666666666,3.061900774637858
verbose,3,3,1.0,1.745956261952718
technical,3,3,1.0,2.0304366747538247
implicit,3,3,1.0,2.491781711578369
spelled_number,3,3,1.0,3.47366730372111
decimal_number,3,3,1.0,2.7420759201049805
missing_amount,3,2,0.6666666666666666,3.1210129261016846
missing_chain,3,2,0.6666666666666666,3.084527333577474
ambiguous_amount,3,3,1.0,2.355339527130127
approximate_amount,2,1,0.5,0.7808085680007935
