experiment,total_tests,correct_tests,accuracy,avg_response_time
direct_swap,1,1,1.0,3.544218063354492
direct_transfer,1,1,1.0,2.5943667888641357
direct_remittance,1,1,1.0,1.4538471698760986
polite_swap,1,1,1.0,2.3800480365753174
polite_transfer,1,1,1.0,1.4445581436157227
polite_remittance,1,1,1.0,3.3096539974212646
conversational_swap,1,1,1.0,2.978555917739868
conversational_transfer,1,1,1.0,5.819500923156738
conversational_remittance,1,1,1.0,2.3150599002838135
question_swap,1,1,1.0,2.9604880809783936
question_transfer,1,1,1.0,2.7052700519561768
question_remittance,1,1,1.0,4.0129780769348145
synonyms_swap,1,1,1.0,2.1018857955932617
synonyms_transfer,1,1,1.0,1.8862078189849854
synonyms_remittance,1,1,1.0,3.5943450927734375
reordered_swap,1,1,1.0,2.587447166442871
reordered_transfer,1,1,1.0,3.945680856704712
reordered_remittance,1,1,1.0,1.8562331199645996
symbols_swap,1,1,1.0,4.305666208267212
symbols_transfer,1,1,1.0,2.2071781158447266
symbols_remittance,1,1,1.0,5.2235658168792725
verbose_swap,1,1,1.0,1.576826810836792
verbose_transfer,1,1,1.0,1.6834349632263184
verbose_remittance,1,1,1.0,1.3440358638763428
technical_swap,1,1,1.0,1.3070359230041504
technical_transfer,1,1,1.0,1.416585922241211
technical_remittance,1,1,1.0,1.6265578269958496
implicit_swap,1,1,1.0,1.5338120460510254
implicit_transfer,1,1,1.0,4.192356109619141
implicit_remittance,1,1,1.0,1.212951898574829
spelled_number_swap,1,1,1.0,1.5480601787567139
spelled_number_transfer,1,1,1.0,1.634610891342163
spelled_number_remittance,1,1,1.0,1.54402494430542
decimal_number_swap,1,1,1.0,3.6185569763183594
decimal_number_transfer,1,1,1.0,4.708171129226685
decimal_number_remittance,1,1,1.0,3.2895312309265137
missing_amount_swap,1,1,1.0,4.003925085067749
missing_amount_transfer,1,1,1.0,7.695523738861084
missing_amount_remittance,1,1,1.0,2.430661916732788
missing_chain_swap,1,1,1.0,1.8695259094238281
missing_chain_transfer,1,0,0.0,7.270322322845459
missing_chain_remittance,1,1,1.0,2.0625078678131104
ambiguous_amount_swap,1,1,1.0,1.4084820747375488
ambiguous_amount_transfer,1,1,1.0,4.995334148406982
ambiguous_amount_remittance,1,1,1.0,1.206712007522583
approximate_amount_swap,1,0,0.0,0.0
approximate_amount_transfer,1,0,0.0,2.636305809020996
